n   | Best Alpha | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1? (nconv=2)
56  | 0.630      | 3.61394442e+10 | 4.13358717e+10 | 1.1438         | False
57  | 0.600      | 2.72365763e+10 | 1.48255019e+10 | 0.5443         | True
58  | 0.780      | 3.34772601e+11 | 3.92543656e+11 | 1.1726         | False
59  | 0.680      | 4.48032898e+10 | 4.66849121e+10 | 1.0420         | False
60  | 0.500      | 3.17303827e+09 | 2.23234310e+09 | 0.7035         | True
61  | 0.530      | 3.54874541e+09 | 3.06401116e+09 | 0.8634         | True
62  | 0.510      | 2.74696051e+09 | 3.63130599e+09 | 1.3219         | False
63  | 0.690      | 7.51695232e+10 | 8.35579049e+10 | 1.1116         | False
64  | 0.550      | 6.12712068e+09 | 6.13540805e+09 | 1.0014         | False
65  | 0.530      | 4.18940879e+09 | 3.39326919e+09 | 0.8100         | True
66  | 0.550      | 1.36875774e+10 | 1.71403232e+10 | 1.2523         | False
67  | 0.610      | 3.57973820e+10 | 2.92053560e+10 | 0.8159         | True
68  | 0.810      | 5.22837024e+11 | 2.48368967e+11 | 0.4750         | True
69  | 0.560      | 9.80352833e+09 | 1.05666631e+10 | 1.0778         | False
70  | 0.110      | 23813.7009     | 35085.6667     | 1.4733         | False
71  | 0.360      | 8.16648204e+07 | 9.45736163e+07 | 1.1581         | False
72  | 0.550      | 6.58447042e+09 | 7.72417648e+09 | 1.1731         | False
73  | 0.380      | 1.92588561e+08 | 2.41928451e+08 | 1.2562         | False
74  | 0.520      | 1.16531167e+10 | 1.01137436e+10 | 0.8679         | True
75  | 1.050      | 4.47704827e+13 | 8.22234967e+12 | 0.1837         | True
76  | 0.510      | 4.25943863e+09 | 4.10721634e+09 | 0.9643         | True
77  | 0.320      | 5.14941520e+07 | 7.14997765e+07 | 1.3885         | False
78  | 0.100      | 19492.1159     | 30661.9861     | 1.5730         | False
79  | 0.380      | 2.06023034e+08 | 2.43377463e+08 | 1.1813         | False
80  | 0.390      | 4.59289287e+08 | 4.49599158e+08 | 0.9789         | True
81  | 0.550      | 2.41914725e+10 | 1.28585169e+10 | 0.5315         | True
82  | 0.830      | 7.30568234e+12 | 7.28471841e+12 | 0.9971         | True
83  | 0.770      | 9.34012652e+11 | 4.38594634e+11 | 0.4696         | True
84  | 0.440      | 1.26172894e+09 | 1.68515749e+09 | 1.3356         | False
85  | 0.120      | 52785.4390     | 85676.6372     | 1.6231         | False
