n   | Best Alpha     | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1?
62  | 0.510          | 2746960513.9187 | 3631305994.5715 | 1.3219         | False
63  | 0.690          | 75169523164.1425 | 83557904852.3792 | 1.1116         | False
64  | 0.550          | 6127120680.8263 | 6135408048.0800 | 1.0014         | False
65  | 0.530          | 4189408794.6064 | 3393269185.9733 | 0.8100         | True
66  | 0.550          | 13687577421.7227 | 17140323203.9232 | 1.2523         | False
67  | 0.610          | 35797381987.6104 | 29205356027.3727 | 0.8159         | True
68  | 0.810          | 522837023614.1678 | 248368966816.6550 | 0.4750         | True
69  | 0.560          | 9803528331.1596 | 10566663069.0945 | 1.0778         | False
70  | 0.110          | 23813.7009     | 35085.6667     | 1.4733         | False
71  | 0.360          | 81664820.4319  | 94573616.2704  | 1.1581         | False
72  | 0.550          | 6584470419.7305 | 7724176480.1269 | 1.1731         | False
73  | 0.380          | 192588561.2921 | 241928450.7443 | 1.2562         | False
74  | 0.520          | 11653116712.0644 | 10113743645.7972 | 0.8679         | True
75  | 1.050          | 44770482652029.9297 | 8222349672931.5859 | 0.1837         | True
76  | 0.510          | 4259438633.4353 | 4107216337.8084 | 0.9643         | True
77  | 0.320          | 51494151.9942  | 71499776.4692  | 1.3885         | False
78  | 0.100          | 19492.1159     | 30661.9861     | 1.5730         | False
79  | 0.380          | 206023033.6900 | 243377462.5346 | 1.1813         | False
80  | 0.390          | 459289286.7781 | 449599157.9925 | 0.9789         | True
81  | 0.550          | 24191472500.0608 | 12858516949.8273 | 0.5315         | True
82  | 0.830          | 7305682343320.7383 | 7284718406331.0752 | 0.9971         | True
83  | 0.770          | 934012652481.7003 | 438594633523.3444 | 0.4696         | True
84  | 0.440          | 1261728941.2698 | 1685157493.9827 | 1.3356         | False
85  | 0.120          | 52785.4390     | 85676.6372     | 1.6231         | False
86  | 0.680          | 506625387180.2211 | 214780136824.6990 | 0.4239         | True
87  | 0.470          | 3723749042.9499 | 3917352478.5249 | 1.0520         | False
88  | 0.860          | 4287422953700.0566 | 3569232763684.9346 | 0.8325         | True
89  | 0.390          | 1020928411.3622 | 1300618185.6165 | 1.2740         | False
90  | 0.480          | 4960427399.3277 | 5770089680.0181 | 1.1632         | False
91  | 0.580          | 27932992900.9828 | 28595730866.3898 | 1.0237         | False
92  | 0.250          | 13771226.8427  | 15142143.4489  | 1.0995         | False
93  | 0.620          | 66206192553.5969 | 64386677542.9307 | 0.9725         | True
94  | 0.430          | 1646961564.6139 | 1588455723.8094 | 0.9645         | True
95  | 0.460          | 5649826515.7613 | 5284981228.4974 | 0.9354         | True
96  | 0.300          | 62131599.7430  | 69974455.1805  | 1.1262         | False
97  | 0.540          | 16787258953.9536 | 14981019452.8202 | 0.8924         | True
98  | 0.660          | 355303212408.5057 | 406296571464.4548 | 1.1435         | False
99  | 0.520          | 18511289864.2622 | 17877959994.9892 | 0.9658         | True
100 | 0.100          | 37257.6261     | 54951.3591     | 1.4749         | False
101 | 0.610          | 221952045968.6704 | 276803738692.0036 | 1.2471         | False
102 | 0.470          | 9974114086.9226 | 10936213457.9859 | 1.0965         | False
