n   | Best Alpha     | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1?
42  | 0.340          | 377.6440       | 614.1061       | 1.6262         | False
43  | 0.350          | 399.3262       | 639.6615       | 1.6019         | False
44  | 0.340          | 400.1189       | 653.4430       | 1.6331         | False
45  | 0.320          | 390.3507       | 663.5180       | 1.6998         | False
46  | 0.340          | 423.1353       | 682.4086       | 1.6127         | False
47  | 0.340          | 433.1695       | 719.1868       | 1.6603         | False
48  | 0.330          | 433.7675       | 723.5422       | 1.6680         | False
49  | 0.320          | 432.5150       | 704.2286       | 1.6282         | False
50  | 0.320          | 443.3419       | 764.4796       | 1.7244         | False
51  | 0.310          | 442.6853       | 753.8260       | 1.7028         | False
52  | 0.340          | 492.9477       | 816.3462       | 1.6561         | False
53  | 0.360          | 533.9487       | 860.4616       | 1.6115         | False
54  | 0.330          | 500.2873       | 840.7516       | 1.6805         | False
55  | 0.300          | 470.4386       | 817.9046       | 1.7386         | False
56  | 0.310          | 496.8016       | 850.1746       | 1.7113         | False
57  | 0.310          | 508.1441       | 861.8559       | 1.6961         | False
58  | 0.330          | 548.2454       | 910.1940       | 1.6602         | False
59  | 0.300          | 513.5209       | 915.5274       | 1.7828         | False
60  | 0.320          | 554.9739       | 937.7552       | 1.6897         | False
61  | 0.310          | 551.6138       | 954.0665       | 1.7296         | False
62  | 0.280          | 514.6727       | 932.4926       | 1.8118         | False
63  | 0.300          | 556.0038       | 990.6725       | 1.7818         | False
64  | 0.310          | 584.0978       | 989.0854       | 1.6934         | False
65  | 0.310          | 596.5813       | 1061.3394      | 1.7790         | False
66  | 0.300          | 587.6342       | 1048.8136      | 1.7848         | False
67  | 0.310          | 617.5022       | 1081.6073      | 1.7516         | False
68  | 0.300          | 609.3102       | 1089.6470      | 1.7883         | False
69  | 0.310          | 642.0402       | 1103.2291      | 1.7183         | False
70  | 0.300          | 631.0176       | 1152.5979      | 1.8266         | False
71  | 0.310          | 663.3864       | 1129.1959      | 1.7022         | False
72  | 0.280          | 615.3414       | 1155.9036      | 1.8785         | False
73  | 0.300          | 665.5378       | 1189.2662      | 1.7869         | False
74  | 0.300          | 677.1735       | 1219.4377      | 1.8008         | False
75  | 0.310          | 710.2467       | 1242.2624      | 1.7491         | False
76  | 0.300          | 701.2066       | 1237.1441      | 1.7643         | False
77  | 0.270          | 646.6227       | 1227.2709      | 1.8980         | False
78  | 0.270          | 657.6404       | 1228.2341      | 1.8676         | False
79  | 0.290          | 712.2900       | 1310.6241      | 1.8400         | False
80  | 0.270          | 677.7778       | 1264.7660      | 1.8660         | False
81  | 0.290          | 732.4473       | 1321.5659      | 1.8043         | False
82  | 0.270          | 697.6698       | 1311.7443      | 1.8802         | False
83  | 0.260          | 686.2686       | 1294.1341      | 1.8858         | False
84  | 0.280          | 740.8645       | 1366.1752      | 1.8440         | False
85  | 0.270          | 727.6547       | 1381.1093      | 1.8980         | False
86  | 0.300          | 814.0125       | 1491.6716      | 1.8325         | False
87  | 0.260          | 725.4254       | 1346.7385      | 1.8565         | False
88  | 0.310          | 865.7495       | 1527.8437      | 1.7648         | False
89  | 0.280          | 794.7044       | 1474.2811      | 1.8551         | False
90  | 0.270          | 779.3187       | 1483.4544      | 1.9035         | False
91  | 0.280          | 817.1578       | 1485.7339      | 1.8182         | False
92  | 0.280          | 827.3237       | 1522.3233      | 1.8401         | False
93  | 0.300          | 896.1068       | 1602.7851      | 1.7886         | False
94  | 0.280          | 849.8003       | 1573.2308      | 1.8513         | False
95  | 0.300          | 919.0501       | 1699.2063      | 1.8489         | False
96  | 0.290          | 899.6041       | 1661.0361      | 1.8464         | False
97  | 0.270          | 854.4490       | 1606.7688      | 1.8805         | False
98  | 0.280          | 892.8083       | 1653.7247      | 1.8523         | False
99  | 0.280          | 902.8419       | 1676.5666      | 1.8570         | False
100 | 0.280          | 916.1568       | 1697.9770      | 1.8534         | False
101 | 0.270          | 894.9034       | 1700.9174      | 1.9007         | False
102 | 0.250          | 848.0110       | 1676.0289      | 1.9764         | False
